@RELATION	text2arff

%This file is generated by Text2arff V.5. Text2arff tool was developed by Naturel Language Processing
%group of Yıldız Technical University Computer Engineering Department.
%Look for www.kemik.yildiz.edu.tr for more information.

@ATTRIBUTE	COUNT_CUMLE	REAL
@ATTRIBUTE	COUNT_KELIME	REAL
@ATTRIBUTE	COUNT_HARF	REAL
@ATTRIBUTE	COUNT_DEVRIK_CUMLE	REAL
@ATTRIBUTE	COUNT_EK	REAL
@ATTRIBUTE	COUNT_UC_NOKTA	REAL
@ATTRIBUTE	COUNT_NOKTA	REAL
@ATTRIBUTE	COUNT_SORU_ISARETI	REAL
@ATTRIBUTE	COUNT_UNLEM	REAL
@ATTRIBUTE	COUNT_BOSLUK	REAL
@ATTRIBUTE	COUNT_VIRGUL	REAL
@ATTRIBUTE	COUNT_NOLTALI_VIRGUL	REAL
@ATTRIBUTE	COUNT_IKI_NOKTA	REAL
@ATTRIBUTE	COUNT_TIRNAK	REAL
@ATTRIBUTE	COUNT_CUMLE_BASINA_KELIME	REAL
@ATTRIBUTE	COUNT_CUMLE_BASINA_EK	REAL
@ATTRIBUTE	COUNT_KELIME_BASINA_EK	REAL
@ATTRIBUTE	COUNT_KELIME_BASINA_HARF	REAL
@ATTRIBUTE	class	{0,1,}

@DATA
1.0, 6.0, 35.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 6.0, 2.0, 0.333, 5.833, 1
1.0, 4.0, 29.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 4.0, 3.0, 0.75, 7.25, 1
1.0, 13.0, 92.0, 0.0, 10.0, 0.0, 0.0, 0.0, 1.0, 13.0, 1.0, 0.0, 1.0, 0.0, 13.0, 10.0, 0.769, 7.077, 1
1.0, 11.0, 78.0, 0.0, 7.0, 0.0, 0.0, 0.0, 1.0, 11.0, 0.0, 0.0, 0.0, 0.0, 11.0, 7.0, 0.636, 7.091, 1
1.0, 2.0, 15.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.5, 7.5, 1
1.0, 8.0, 62.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 1.0, 8.0, 7.0, 0.875, 7.75, 1
1.0, 8.0, 53.0, 0.0, 6.0, 0.0, 0.0, 0.0, 1.0, 8.0, 0.0, 0.0, 0.0, 0.0, 8.0, 6.0, 0.75, 6.625, 1
1.0, 5.0, 32.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 5.0, 1.0, 0.2, 6.4, 1
1.0, 9.0, 61.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 1.0, 9.0, 7.0, 0.778, 6.778, 1
1.0, 5.0, 34.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 5.0, 2.0, 0.4, 6.8, 1
1.0, 6.0, 46.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 1.0, 0.0, 6.0, 4.0, 0.667, 7.667, 1
